,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
11155,TOP1,P11387,reviewed,TOP1_HUMAN,DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I),TOP1,Homo sapiens (Human),765
11161,TPH1,P17752,reviewed,TPH1_HUMAN,Tryptophan 5-hydroxylase 1 (EC 1.14.16.4) (Tryptophan 5-monooxygenase 1),TPH1 TPH TPRH TRPH,Homo sapiens (Human),444
11176,TPM1,P09493,reviewed,TPM1_HUMAN,Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1),TPM1 C15orf13 TMSA,Homo sapiens (Human),284
11205,TRAF2,Q12933,reviewed,TRAF2_HUMAN,TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3),TRAF2 TRAP3,Homo sapiens (Human),501
11211,TRAM1,Q15629,reviewed,TRAM1_HUMAN,Translocating chain-associated membrane protein 1 (Protein TRAM1),TRAM1 TRAM,Homo sapiens (Human),374
11217,TRIM10,Q9UDY6,reviewed,TRI10_HUMAN,Tripartite motif-containing protein 10 (B30-RING finger protein) (RING finger protein 9),TRIM10 RFB30 RNF9,Homo sapiens (Human),481
11218,TSEN2,Q8NCE0,reviewed,SEN2_HUMAN,tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2) (HsSen2),TSEN2 SEN2,Homo sapiens (Human),465
11238,TSNAXIP1,Q2TAA8,reviewed,TXIP1_HUMAN,Translin-associated factor X-interacting protein 1 (Trax-interacting protein 1),TSNAXIP1 TXI1,Homo sapiens (Human),658
11249,TSPAN1,O60635,reviewed,TSN1_HUMAN,Tetraspanin-1 (Tspan-1) (Tetraspan NET-1) (Tetraspanin TM4-C),TSPAN1,Homo sapiens (Human),241
11250,TTC1,Q99614,reviewed,TTC1_HUMAN,Tetratricopeptide repeat protein 1 (TPR repeat protein 1),TTC1 TPR1,Homo sapiens (Human),292
11258,TTLL1,O95922,reviewed,TTLL1_HUMAN,Polyglutamylase complex subunit TTLL1 (EC 6.3.2.-) (Tubulin polyglutamylase TTLL1) (Tubulin polyglutamylase complex subunit 3) (PGs3) (Tubulin--tyrosine ligase-like protein 1),TTLL1 C22orf7,Homo sapiens (Human),423
11259,TTYH1,Q9H313,reviewed,TTYH1_HUMAN,Protein tweety homolog 1 (hTTY1) (Volume-regulated anion channel subunit TTYH1),TTYH1,Homo sapiens (Human),450
11267,TUBA1A,Q71U36,reviewed,TBA1A_HUMAN,Tubulin alpha-1A chain (EC 3.6.5.-) (Alpha-tubulin 3) (Tubulin B-alpha-1) (Tubulin alpha-3 chain) [Cleaved into: Detyrosinated tubulin alpha-1A chain],TUBA1A TUBA3,Homo sapiens (Human),451
11272,TXNDC2,Q86VQ3,reviewed,TXND2_HUMAN,Thioredoxin domain-containing protein 2 (Spermatid-specific thioredoxin-1) (Sptrx-1),TXNDC2 SPTRX SPTRX1,Homo sapiens (Human),553
11275,TYR,P14679,reviewed,TYRO_HUMAN,Tyrosinase (EC 1.14.18.1) (LB24-AB) (Monophenol monooxygenase) (SK29-AB) (Tumor rejection antigen AB),TYR,Homo sapiens (Human),529
11284,UBA1,P22314,reviewed,UBA1_HUMAN,Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1),UBA1 A1S9T UBE1,Homo sapiens (Human),1058
11291,UBB,P0CG47,reviewed,UBB_HUMAN,Polyubiquitin-B [Cleaved into: Ubiquitin],UBB,Homo sapiens (Human),229
11297,UBE2A,P49459,reviewed,UBE2A_HUMAN,Ubiquitin-conjugating enzyme E2 A (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme A) (RAD6 homolog A) (HR6A) (hHR6A) (Ubiquitin carrier protein A) (Ubiquitin-protein ligase A),UBE2A RAD6A,Homo sapiens (Human),152
11303,UBOX5,O94941,reviewed,RNF37_HUMAN,RING finger protein 37 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF37) (U-box domain-containing protein 5) (UbcM4-interacting protein 5) (hUIP5) (Ubiquitin-conjugating enzyme 7-interacting protein 5),UBOX5 KIAA0860 RNF37 UBCE7IP5 UIP5,Homo sapiens (Human),541
11305,UBQLN1,Q9UMX0,reviewed,UBQL1_HUMAN,Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1),UBQLN1 DA41 PLIC1,Homo sapiens (Human),589
11308,UBR1,Q8IWV7,reviewed,UBR1_HUMAN,E3 ubiquitin-protein ligase UBR1 (EC 2.3.2.27) (N-recognin-1) (Ubiquitin-protein ligase E3-alpha-1) (Ubiquitin-protein ligase E3-alpha-I),UBR1,Homo sapiens (Human),1749
11317,UBXN1,Q04323,reviewed,UBXN1_HUMAN,UBX domain-containing protein 1 (SAPK substrate protein 1) (UBA/UBX 33.3 kDa protein),UBXN1 SAKS1,Homo sapiens (Human),297
11323,VCX,Q9H320,reviewed,VCX1_HUMAN,Variable charge X-linked protein 1 (Variable charge protein on X with ten repeats) (VCX-10r) (Variably charged protein X-B1) (VCX-B1),VCX VCX1 VCX10R VCXB1,Homo sapiens (Human),206
11327,VGLL1,Q99990,reviewed,VGLL1_HUMAN,Transcription cofactor vestigial-like protein 1 (Vgl-1) (Protein TONDU),VGLL1 TDU,Homo sapiens (Human),258
11331,VKORC1,Q9BQB6,reviewed,VKOR1_HUMAN,"Vitamin K epoxide reductase complex subunit 1 (EC 1.17.4.4) (Vitamin K1 2,3-epoxide reductase subunit 1)",VKORC1 VKOR MSTP134 MSTP576 UNQ308/PRO351,Homo sapiens (Human),163
11344,VNN1,O95497,reviewed,VNN1_HUMAN,Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1),VNN1,Homo sapiens (Human),513
11345,VPS9D1,Q9Y2B5,reviewed,VP9D1_HUMAN,VPS9 domain-containing protein 1 (Protein ATP-BL),VPS9D1 ATPBL C16orf7,Homo sapiens (Human),631
11349,WDR1,O75083,reviewed,WDR1_HUMAN,WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1),WDR1,Homo sapiens (Human),606
11361,WFDC1,Q9HC57,reviewed,WFDC1_HUMAN,WAP four-disulfide core domain protein 1 (Prostate stromal protein ps20) (ps20 growth inhibitor),WFDC1 PS20,Homo sapiens (Human),220
11363,WWC1,Q8IX03,reviewed,KIBRA_HUMAN,Protein KIBRA (HBeAg-binding protein 3) (Kidney and brain protein) (KIBRA) (WW domain-containing protein 1),WWC1 KIAA0869 KIBRA,Homo sapiens (Human),1113
11368,XAGE2,Q96GT9,reviewed,XAGE2_HUMAN,X antigen family member 2 (XAGE-2) (Cancer/testis antigen 12.2) (CT12.2) (G antigen family D member 3),XAGE2 GAGED3 XAGE2B,Homo sapiens (Human),111
11369,XKR3,Q5GH77,reviewed,XKR3_HUMAN,XK-related protein 3 (X Kell blood group-related 3) (XTES),XKR3 XRG3,Homo sapiens (Human),459
11371,XPNPEP1,Q9NQW7,reviewed,XPP1_HUMAN,"Xaa-Pro aminopeptidase 1 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Cytosolic aminopeptidase P) (Soluble aminopeptidase P) (sAmp) (X-Pro aminopeptidase 1) (X-prolyl aminopeptidase 1, soluble)",XPNPEP1 XPNPEPL XPNPEPL1,Homo sapiens (Human),623
11375,YBX1,P67809,reviewed,YBOX1_HUMAN,Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor),YBX1 NSEP1 YB1,Homo sapiens (Human),324
11380,YEATS2,Q9ULM3,reviewed,YETS2_HUMAN,YEATS domain-containing protein 2,YEATS2 KIAA1197,Homo sapiens (Human),1422
11383,YPEL1,O60688,reviewed,YPEL1_HUMAN,Protein yippee-like 1,YPEL1 FKSG3,Homo sapiens (Human),119
11386,YWHAE,P62258,reviewed,1433E_HUMAN,14-3-3 protein epsilon (14-3-3E),YWHAE,Homo sapiens (Human),255
11392,ZIC1,Q15915,reviewed,ZIC1_HUMAN,Zinc finger protein ZIC 1 (Zinc finger protein 201) (Zinc finger protein of the cerebellum 1),ZIC1 ZIC ZNF201,Homo sapiens (Human),447
11394,ZNF2,Q9BSG1,reviewed,ZNF2_HUMAN,Zinc finger protein 2 (Zinc finger protein 2.2) (Zinc finger protein 661),ZNF2 ZNF661,Homo sapiens (Human),425
11397,ZP1,P60852,reviewed,ZP1_HUMAN,Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1],ZP1,Homo sapiens (Human),638
11401,EPN1,Q9Y6I3,reviewed,EPN1_HUMAN,Epsin-1 (EH domain-binding mitotic phosphoprotein) (EPS-15-interacting protein 1),EPN1,Homo sapiens (Human),576
11403,GSN,P06396,reviewed,GELS_HUMAN,Gelsolin (AGEL) (Actin-depolymerizing factor) (ADF) (Brevin),GSN,Homo sapiens (Human),782
11410,HINT1,P49773,reviewed,HINT1_HUMAN,Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1),HINT1 HINT PKCI1 PRKCNH1,Homo sapiens (Human),126
